course_id,name,description,level_id,plan_id
105607,INTRODUCTION COMPUTER PROGRAMMING-FORTRAN,"This introductory course is designed for students intending to major in an area other than computer science.  Course objectives:  problem analysis and the development of algorithms; designing, coding, and documenting programs using techniques of good programming style; learning the Fortran language; learning basic concepts of structured programming.",UG,4
105608,INTRODUCTION COMPUTER PROGRMMING-COBOL,"This is first course in computer science.  It is designed especially for student majoring in an area of business or who are interested in business applications of computer science.  Objectives of this course include problem analysis with special emphasis on data processing problems; learning the cobol language; designing, coding, and documenting programs using techniques of good programming style.",UG,4
105609,INTRODUCTION TO COMPUTER PROGRAMMING-BASIC,This is a first course in computer science.  It is designed to be of special interest to students majoring in one of the social sciences or humanities.  Objectives of this course include use of the computer in an interactive environment; problem analysis and the development of algorithms; learning the basic language; designing; coding; and documenting programs using techniques of good programming style.,UG,4
105610,INTRO TO COMPUTER SCIENCE,THE PURPOSE OF THIS COURSE IS TO INTRODUCE THE STUDENT TO SOME FUNDAMENTAL TOPICS IN COMPUTER SCIENCE AND TO IMPROVE PROGRAMMING SKILLS THROUGH AN INTRODUCTION TO THE PROGRAM MING LANGUAGE C++. THIS IS A FIRST COURSE FOR STUDENTS IN TENDING TO MAJOR IN COMPUTER SCIENCE.,UG,4
105611,INTRODUCTION TO COMPUTER PROGRAMMING,This is a first course in computer science programming.  It is recommended for those students intending to major in computer science who do not have the required background for cs 0401.  It may also be of interest to students majoring in one of the social sciences or humanities.  The focus of the course is on problem analysis and the development of algorithms and computer programs in a modern high-level language.,UG,4
105641,COMPUTER LITERACY,"A survey course designed for students not majoring in computer science.  Course objectives include overview of the components of a computer system; the design considerations involved in implementing a solution to data processing problems; an overview of the use of the computer in medicine, business, education, and science; study of key developments in computer science to provide computing historical perspective; lab sessions provide a hands-on introduction to simple programming, word-processing, and data storage.",UG,4
105653,INTRODUCTION TO PERSONAL COMPUTERS AND THE INTERNET,"This course will provide students without previous computer experience the knowledge and skills needed to use computers effectively.  Emphasis will be placed on using software packages for word processing, spreadsheets, and databases and on using the internet.",UG,4
105655,ADVANCED COBOL WITH FILE PROCESSING,"This is an intermediate-level course in computer science for students wishing to satisfy a related area in computer science with emphasis on the business environment.  Objectives of this course include an overview of cobol; programming using timesharing facilities and cobol DDT; advanced features of cobol including hashing, cobol library, sub programs, report writer, sorting (including binary), merging, and searching; file maintenance for sequential, random access, ISAM files, and magnetic tapes; project specification and analysis.",UG,4
105657,SOFTWARE FOR PERSONAL COMPUTING,"An intermediate-level course in computer science for students majoring in areas other than computer science.  Objectives include a non-technical study of the windows NT operating system; development of applications using software selected from the principal areas of applications for personal computing.  These include word-processing (MS Word), spreadsheets (MS Excel), and relational databases (MS Access).",UG,4
105658,PROGRAM IN C AND GUIDE TO UNIX SYSTEM,"This intermediate level course is intended for students who wish to learn the c language and also to learn the use of the Unix operating system.  Course objectives include:  a) the study of the c language using IMB compatible pcs and/or Unix b) an introduction to data structures using c structures and pointers c) the use of library routines and file operations using the c language d) a user-oriented study of the Unix operating system, its file structure, and editors e) an introduction to shell programming and to the use of Unix utilities.",UG,4
105660,WEB SITE DESIGN AND DEVELOPMENT,"This course will provide a basic understanding of the methods and techniques of developing a simple to moderately complex web site.  Using the current standard web page language, students will be instructed on creating and maintaining a simple web site.  After the foundation language has been established, the aid of an internet editor will be introduced.  A second web-based language will be included to further enhance the web sites.",UG,4
105686,INTERMEDIATE PROGRAMMING USING JAVA,This course is a rigorous introduction to the fundamental concepts and techniques of computer programming using the java programming language.  This is a first course for students who intend to major in computer science.,UG,4
105690,INTRODUCTION TO COMPUTER SCIENCE-PASCAL,"This course is an introduction to the concepts, techniques and tools of computer science.  It is designed for those students who are intending to major in that discipline.  The course is to emphasize fundamental approaches to problem analysis, algorithm development and top-down program design. In so doing, the student is to gain a thorough working knowledge of an exemplary programming language, namely pascal, and to become thoroughly familiar with the Pitt computing environment.",UG,4
105694,DISCRETE STRUCTURES FOR CS,"The purpose of this course is to understand and use (abstract) discrete structures that are backbones of computer science.  In particular, this class is meant to introduce logic, proofs, sets, relations, functions, counting, and probability, with an emphasis on applications in computer science.",UG,4
