level_id,start_term,plan_id,degree_id,student_id,email,name,username,password,age,gender,active
GR,2101,2,2,100000,,,,,,,N
GR,2061,2,2,100001,,,,,,,N
GR,2081,2,2,100002,,,,,,,N
GR,2061,2,3,100003,,,,,,,N
GR,2101,2,2,100004,,,,,,,N
GR,2077,1,2,100005,,,,,,,N
GR,2061,1,3,100006,,,,,,,N
GR,2061,2,2,100007,,,,,,,N
GR,2137,1,2,100008,,,,,,,N
GR,2071,2,2,100009,,,,,,,N
GR,2097,2,2,100010,,,,,,,N
GR,2091,1,2,100011,,,,,,,N
GR,2061,2,2,100012,,,,,,,N
GR,2061,2,2,100013,,,,,,,N
UG,2061,1,1,100014,,,,,,,N
UG,2077,1,1,100015,,,,,,,N
GR,2061,2,2,100016,,,,,,,N
GR,2081,2,2,100017,,,,,,,N
UG,2061,1,1,100018,,,,,,,N
GR,2094,2,2,100019,,,,,,,N
GR,2097,3,2,100020,,,,,,,N
GR,2061,2,2,100021,,,,,,,N
UG,2081,1,1,100022,,,,,,,N
GR,2101,2,2,100023,,,,,,,N
GR,2111,1,2,100024,,,,,,,N
GR,2111,1,2,104333,,,,,,,N
GR,2061,2,2,100025,,,,,,,N
GR,2091,2,3,100026,,,,,,,N
GR,2061,2,2,100027,,,,,,,N
GR,2067,2,2,100028,,,,,,,N
GR,2061,1,2,100029,,,,,,,N
GR,2061,2,2,100030,,,,,,,N
GR,2161,2,2,100031,,,,,,,N
GR,2061,1,3,100032,,,,,,,N
GR,2141,1,2,100033,,,,,,,N
GR,2091,3,2,100034,,,,,,,N
GR,2127,2,3,100035,,,,,,,N
GR,2061,2,2,100036,,,,,,,N
GR,2067,2,2,100037,,,,,,,N
UG,2061,1,1,100038,,,,,,,N
GR,2091,2,2,100039,,,,,,,N
GR,2087,2,2,100040,,,,,,,N
GR,2061,2,2,100041,,,,,,,N
UG,2107,1,1,100042,,,,,,,N
GR,2061,2,2,100043,,,,,,,N
GR,2171,2,2,100044,,,,,,,N
GR,2061,2,2,100045,,,,,,,N
GR,2061,3,2,100046,,,,,,,N
GR,2061,2,3,100047,,,,,,,N
UG,2061,1,1,100048,,,,,,,N
GR,2061,2,2,100049,,,,,,,N
GR,2061,3,2,100050,,,,,,,N
GR,2071,2,2,100051,,,,,,,N
UG,2061,1,1,100052,,,,,,,N
GR,2077,2,2,100053,,,,,,,N
GR,2091,3,2,100054,,,,,,,N
GR,2061,2,2,100055,,,,,,,N
GR,2067,2,2,100056,,,,,,,N
GR,2071,2,2,100057,,,,,,,N
